CLASS_NAME	PERSON_FULL_NAME	BEGIN_HH_TIME	SECTION_END_DATE	AVAIL_SEAT	DAY_CODE	BLDG_CODE	BEGIN_MM_TIME	FK_CDI_INSTR_TYPE	FK_SPM_SPCL_MTG_CD	COUNT_ON_WAITLIST	END_HH_TIME	PRIMARY_INSTR_FLAG	LONG_DESC	END_MM_TIME	SECTION_START_DATE	STP_ENRLT_FLAG	SCTN_ENRLT_QTY	START_DATE	ROOM_CODE	SECTION_NUMBER	SECT_CODE	BEFORE_DESC	SCTN_CPCTY_QTY	FK_SST_SCTN_STATCD
ANTH 295	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923545	005	 	9999	AC	
ANTH 295	Gagneux, Pascal	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923546	006	 	9999	AC	
ANTH 295	Goldstein, Paul S	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923547	007	 	9999	AC	
ANTH 295	Hankins, Joseph D.	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923548	008	 	9999	AC	
ANTH 295	Haviland, John B.	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923549	009	 	9999	AC	
ANTH 295	Jenkins, Janis A.	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923550	010	 	9999	AC	
ANTH 295	Levy, Thomas E	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923551	011	 	9999	AC	
ANTH 295	Non, Amy L	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923552	012	 	9999	AC	
ANTH 295	Parish, Steven Martin	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923553	013	 	9999	AC	
ANTH 295	Pedersen, David	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923554	014	 	9999	AC	
ANTH 295	Postero, Nancy Grey	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923555	015	 	9999	AC	
ANTH 295	Schoeninger, Margaret J	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923556	016	 	9999	AC	
ANTH 295	Semendeferi, Ekaterini	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923557	017	 	9999	AC	
ANTH 295	Strum, Shirley C.	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923558	018	 	9999	AC	
ANTH 295	Woolard, Kathryn A	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923559	019	 	9999	AC	
ANTH 295	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923560	020	 	9999	AC	
